backend,k,id,family,has_rationale,rationale_chars,asset_grounded,class_consistent,action_consistent,n_unsupported_claims,unsupported_claims,is_template_rationale
llama3_1_8b_lora,1,rev-0000,scenario_derived,True,75,True,True,True,0,,True
llama3_1_8b_lora,1,rev-0001,scenario_derived,True,75,True,True,True,0,,True
llama3_1_8b_lora,1,rev-0002,scenario_derived,True,75,True,True,True,0,,True
llama3_1_8b_lora,1,rev-0003,scenario_derived,True,75,True,True,True,0,,True
llama3_1_8b_lora,1,rev-0004,scenario_derived,True,78,True,True,True,0,,True
llama3_1_8b_lora,1,rev-0005,scenario_derived,True,75,True,True,True,0,,True
llama3_1_8b_lora,1,rev-0006,scenario_derived,True,67,True,True,True,0,,True
llama3_1_8b_lora,1,rev-0007,scenario_derived,True,75,True,True,True,0,,True
llama3_1_8b_lora,1,rev-0008,scenario_derived,True,78,True,True,True,0,,True
llama3_1_8b_lora,1,rev-0009,scenario_derived,True,75,True,True,True,0,,True
llama3_1_8b_lora,1,rev-0010,scenario_derived,True,75,True,True,True,0,,True
llama3_1_8b_lora,1,rev-0011,scenario_derived,True,75,True,True,True,0,,True
llama3_1_8b_lora,1,rev-0012,scenario_derived,True,76,True,True,True,0,,True
llama3_1_8b_lora,1,rev-0013,scenario_derived,True,76,True,True,True,0,,True
llama3_1_8b_lora,1,rev-0014,scenario_derived,True,76,True,True,True,0,,True
llama3_1_8b_lora,1,rev-0015,scenario_derived,True,76,True,True,True,0,,True
llama3_1_8b_lora,1,rev-0016,scenario_derived,True,76,True,True,True,0,,True
llama3_1_8b_lora,1,rev-0017,scenario_derived,True,53,,False,False,0,,False
llama3_1_8b_lora,1,rev-0018,scenario_derived,True,53,,False,False,0,,False
llama3_1_8b_lora,1,rev-0019,scenario_derived,True,71,,False,False,0,,False
llama3_1_8b_lora,1,rev-1000,paraphrased_alert,True,76,True,True,True,1,persistent freeze,True
llama3_1_8b_lora,1,rev-1001,paraphrased_alert,True,78,True,True,True,0,,True
llama3_1_8b_lora,1,rev-1002,paraphrased_alert,True,85,True,True,True,0,,True
llama3_1_8b_lora,1,rev-1003,paraphrased_alert,True,85,,False,False,0,,False
llama3_1_8b_lora,1,rev-1004,paraphrased_alert,True,75,True,True,True,0,,True
llama3_1_8b_lora,1,rev-1005,paraphrased_alert,True,80,True,True,True,0,,True
llama3_1_8b_lora,1,rev-1006,paraphrased_alert,True,63,True,False,False,0,,False
llama3_1_8b_lora,1,rev-1007,paraphrased_alert,True,85,True,True,True,1,forged command,True
llama3_1_8b_lora,1,rev-1008,paraphrased_alert,True,76,True,True,True,0,,True
llama3_1_8b_lora,1,rev-1009,paraphrased_alert,True,76,,False,False,1,persistent freeze,True
llama3_1_8b_lora,1,rev-1010,paraphrased_alert,True,64,True,True,True,0,,True
llama3_1_8b_lora,1,rev-1011,paraphrased_alert,True,76,,False,False,1,persistent freeze,True
llama3_1_8b_lora,1,rev-1012,paraphrased_alert,True,68,True,True,True,0,,True
llama3_1_8b_lora,1,rev-1013,paraphrased_alert,True,55,,False,False,0,,False
llama3_1_8b_lora,1,rev-1014,paraphrased_alert,True,76,True,True,True,2,forged command;persistent freeze,True
llama3_1_8b_lora,1,rev-1015,paraphrased_alert,True,76,,False,False,2,forged command;persistent freeze,True
llama3_1_8b_lora,1,rev-1016,paraphrased_alert,True,75,,False,False,1,forged command,True
llama3_1_8b_lora,1,rev-1017,paraphrased_alert,True,99,True,False,False,0,,False
llama3_1_8b_lora,1,rev-1018,paraphrased_alert,True,67,,False,False,0,,True
